pathway	description	HB1	HB2	HB3	HB4	HB5	N1	N2	N3	N4	N5
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	51165.11198654396	42152.53371135839	49453.23118361663	43982.92569036529	43633.51206029948	67189.29143998752	68849.33451067847	69658.83134371482	63273.83949143616	58049.68926949
CRNFORCAT-PWY	creatinine degradation I	713.1831123339105	3580.481422741566	2194.714600620393	4502.198381399082	4720.450528172884	980.080612416381	178.16760443784185	1137.1769770605797	781.1459924926122	198.74616040794143
DAPLYSINESYN-PWY	L-lysine biosynthesis I	42890.67269639883	35540.09309671444	39991.58485592317	39672.22154935273	39556.219954074135	53936.12442000573	52568.50144888514	52307.06662012511	44492.70270435946	44223.84769135632
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	39.81359033484642	78.18883645240032	233.06186997937104	73.20785983380453	109.41378642894804	127.01964583634827	0.0	149.85915492957747	83.03048182424531	0.0
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	43541.53343447197	37969.83476705104	45096.12027414375	37410.20576731033	42296.71345847489	74323.66428901617	69399.51122315846	69666.39276612108	63914.19636685095	56951.858183182005
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	17.139364654226718	788.9074962467495	1424.6354305872312	1015.1110577695268	1214.8774613551757	1072.3395253462058	0.0	1143.4623508138543	749.2529473439531	0.0
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	34833.046662311004	25621.01260989556	42799.297870649134	23078.734665657565	30669.832249669973	70276.31467479673	67093.07558996967	64921.67482492752	61330.40491699655	57033.84910843026
ECASYN-PWY	enterobacterial common antigen biosynthesis	15389.75831949541	17070.895087498884	15325.2086442095	20224.59438129358	18045.43970070049	9260.949734043612	10424.200832265984	8185.982594631577	9887.531703432944	6116.423624391241
ENTBACSYN-PWY	enterobactin biosynthesis	32900.028208717944	33511.577220394574	22767.64907870268	39871.3951476322	37136.4422523545	19005.588131953165	16755.57050338071	21657.44571325554	18404.32650576269	15745.348420924556
FAO-PWY	fatty acid &beta;-oxidation I	30965.34407757522	34090.86310533013	32649.77036167445	38671.01809180554	34593.014605834804	19014.297092182307	18986.468259753437	21094.574414817114	18999.395151818124	11641.421614988662
FASYN-ELONG-PWY	fatty acid elongation -- saturated	53699.800591833846	49998.47695158744	52565.82298908823	46458.35322243356	51729.794468644126	83692.3504484311	81381.40001518426	79451.64918910325	76307.0553309397	63042.97626838013
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	26945.340722540142	27559.911046638743	37090.421735306	32138.5848912378	30045.912449333668	19586.42040582906	16085.076218532273	21948.486855003182	17441.98995880729	12461.718561540156
FERMENTATION-PWY	mixed acid fermentation	45548.842510558665	43422.50224010819	44976.1512715297	45080.21364907725	46779.07552793795	60904.421684916255	52688.85969024602	45369.77742269442	42360.701201421325	36884.955416784
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	43582.79496549786	36358.941170761325	45792.2337794885	37090.29047838065	39509.8497594942	64949.708508731244	64288.88480149599	63686.21971161576	60608.07424023284	49674.43405381678
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	16683.490095835783	17945.82230321147	15438.139846868582	19798.079967666905	17787.96901817034	18156.425842632118	15821.203618477304	20379.81703298872	17100.84004930806	17704.350574460306
FUCCAT-PWY	fucose degradation	15408.962276263865	16127.08407384136	14587.63155841908	18892.134633758204	15392.076706423166	14975.990982840918	12705.570470087005	26121.058579011507	18540.4485606485	25522.668355681988
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	31567.471820353127	30928.996750687034	26297.667002080503	34801.961025993776	31611.84119760483	24680.081523032422	27766.78427409123	22028.622892610223	20830.80902622304	18244.388287767448
GALACTARDEG-PWY	D-galactarate degradation I	14083.478379438646	16171.574786136069	13467.124383120836	19726.771703541315	16109.531427616974	3883.373860019262	2396.087401886779	4389.970806865669	3591.404236320528	2335.2937371506628
GALACTUROCAT-PWY	D-galacturonate degradation I	33742.13032564674	31151.831353160556	28569.804534195056	36858.30427474561	33543.24780987429	33796.80330570097	35128.34234667079	29602.191779325058	26060.00841160812	24724.72797763971
GALLATE-DEGRADATION-I-PWY	gallate degradation II	5018.39294955419	5758.506904211538	2932.458382456274	7092.845446460512	5633.903921081279	358.2715128024526	115.8033268438169	518.3655476221298	292.53076453248485	385.0856060216202
GALLATE-DEGRADATION-II-PWY	gallate degradation I	5040.985548262258	5771.939451275271	3324.723634908086	7106.081005356848	5652.520752628543	378.1660119035532	115.8033268438169	563.4507373410348	306.092629606716	386.0416279810013
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	31871.111245900487	29799.31470078972	30909.33392339214	33728.14343263581	35331.25682492306	51163.91032023574	47586.3532087361	40972.90471003506	36651.96971441512	31416.059020032044
GLUCARDEG-PWY	D-glucarate degradation I	14409.4744006711	16534.293633740737	13796.407876638725	19973.00677778125	16423.73924425391	7984.050423031989	8238.246445554401	7043.53773563831	8197.793749676202	4999.403101315151
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	14083.478379438646	16171.574786136069	13467.124383120836	19726.771703541315	16109.531427616974	3883.373860019262	2396.087401886779	4389.970806865669	3591.404236320528	2335.2937371506628
GLUCONEO-PWY	gluconeogenesis I	53412.43095416544	45518.02274281972	52558.0263305629	47831.4346256758	51468.33759902423	76905.71993119444	73487.11604181273	70821.88500766583	67276.15860335191	56591.72531490072
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	20758.981804691	21295.82406289848	21795.13408904936	25212.188683818666	23027.456220398624	20625.9000469959	14295.337076835063	35050.44736907578	25620.85346587286	32182.412254857656
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	32854.01368588134	31938.042522493117	27488.37918433752	35648.82750722253	32675.59218924622	24222.345282952352	28171.055996147465	21353.2515973642	21424.3147056566	17598.026327807172
GLUTORN-PWY	L-ornithine biosynthesis	33845.90993943014	30931.93274649579	33467.7967220072	31481.72464478557	31300.91252557625	47578.16319000939	47681.87390781179	57368.8142537773	48442.71796285551	48199.75350458153
GLYCOCAT-PWY	glycogen degradation I (bacterial)	46740.443525764895	37917.32096502999	47004.007478603686	41305.806625105935	42425.74501760671	71228.55241119745	72958.86575051492	66403.55814038076	62644.75743189268	57474.42873026562
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	40143.0944822268	30962.82006448403	38342.0328485952	34879.440062298025	37662.35910294286	63077.74042837312	66440.59376660318	48495.07146152345	44766.62023915279	41209.71489660181
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	13426.153454044945	15499.469816002813	12609.71605682524	18554.278055465416	15855.814786067152	9177.257147969012	9709.23569519574	8056.328618682241	9681.904620725898	5640.640083034251
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	55028.86536794855	47515.03302770056	56363.59840354444	51622.414139814784	57435.25593257894	87451.84394836723	81915.39604333106	75964.61135790615	72953.8741104766	61109.92552763527
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	36890.58966856393	34192.821452097334	38717.937912816255	37739.40037607542	39149.68572371429	42163.886767835975	41566.242851783776	36841.30098046645	37114.01764357439	27857.73684896822
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	33530.695949569454	33742.258095209814	34551.38853334293	37106.44598777921	35760.35190709129	32501.30287577763	28801.64831514141	32873.4448289647	31431.884770589444	20104.5424406382
GLYOXYLATE-BYPASS	glyoxylate cycle	18530.952585484025	20770.41981284833	20157.835794019287	23380.263903830622	21093.461859089017	18977.574173684294	20921.83309888312	19390.31529340284	21500.83734883001	11986.0107028299
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	14514.030025787904	16179.700941831705	21111.00763286484	20055.90853251667	16416.660087649692	2069.565022320244	968.3052961244896	2254.1061476267814	1752.0870740123491	1779.250810856422
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	11468.197317778	13308.71311565006	4107.409125048235	16555.373925491414	13120.481408670015	1598.3601899988666	1409.1655959602535	1782.0059699908682	1664.9013214451377	1388.1970616226165
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	16129.029734376954	17483.155164427317	17388.651980866198	20183.092207897167	18014.89644037444	20652.26715117448	22251.147000528705	14482.81930852928	19992.680641798725	6419.260368662781
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	28105.45139461723	25647.527215798214	28999.91192285196	27291.814239788997	26751.81910144456	30427.51910327925	28151.450391870658	26776.019716162045	24354.79471190616	17811.208615834123
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	34061.38529425695	31982.27568043465	31750.890496715576	36808.76813216764	37159.14792661312	28532.320922814837	26174.46497341122	23930.95040829685	22903.782227322212	18045.465494248005
HISDEG-PWY	L-histidine degradation I	23479.903372689638	23806.10441134097	27255.11421333265	21723.79442817721	20843.719122676488	29897.164081382	29902.527102307045	24625.13397814477	29237.48246001071	13896.296752348348
HISTSYN-PWY	L-histidine biosynthesis	34891.8282795132	29761.881614376234	34548.63258945935	30221.427053186104	30694.961322919844	52683.33893864064	52760.9886435053	54875.29600833197	47596.21425888237	47475.40111690939
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	35271.10105461804	32409.61643727125	35473.68597034669	35842.92113937207	35656.89843018561	26582.88980569474	21730.37544598741	25827.316217253087	22445.44393405929	16773.3924136896
HSERMETANA-PWY	L-methionine biosynthesis III	35605.35580806932	29951.347764936763	35923.2599765131	26860.524190571523	30570.955155483254	28180.132241848944	22712.18547474643	39919.91344052201	24910.446046833844	33823.84317586002
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	48268.34666204425	40528.44382741513	48387.77207502997	41045.38631604161	42412.35504074547	77164.7982327165	80207.14069740835	74860.28460920144	69914.60288529971	61826.645388986304
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	24705.36641121116	24362.802129773358	27017.847193298345	23452.318176207355	22804.676722242835	24881.69169381433	25739.110188000213	23830.437142388688	26498.13774886861	19922.728088429365
KETOGLUCONMET-PWY	ketogluconate metabolism	0.0	0.0	42.4103273792167	0.0	388.4339940998081	7.997907387510635	0.0	1.4999267866497896	2.9997356233443413	0.0
LACTOSECAT-PWY	lactose and galactose degradation I	4146.624765615634	5100.201759542551	5349.903865087665	6009.352755670508	8863.649352581286	18007.062486167113	9898.428447594357	10500.902004240308	7452.742556402427	6840.380635867207
LEU-DEG2-PWY	L-leucine degradation I	751.7626382399263	1064.421346628433	2382.947775327237	1213.2538513593247	1700.655975802886	1785.3692970882075	174.06893442867357	3677.564339000598	1007.4733548806272	473.392730515438
LIPASYN-PWY	phospholipases	0.0	0.0	0.0	0.7245670730466821	0.0	0.0	0.0	0.0	0.0	0.0
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	277.63899751737347	421.6515800626796	516.3322297247885	215.21929445266008	1018.9040977769844	3802.036990968548	4996.090763855853	3198.897653282126	4720.636575160415	2490.039544922685
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	44074.46385816049	38459.75220455766	43756.749543069534	41260.85191336776	42860.83079561809	36663.78748113708	30265.006519326187	35527.43209533678	30824.014120334625	23666.59080598404
METH-ACETATE-PWY	methanogenesis from acetate	1055.9131242849337	111.21941813739257	955.7141922660848	50.33327247002338	742.984461872329	140.82791042172985	220.51443004808493	151.47701571880256	81.0706823307615	199.60150706531272
METHGLYUT-PWY	superpathway of methylglyoxal degradation	957.0987933065976	1137.1775469806687	2093.893512463794	866.7405209114212	1392.9591993831398	6940.2009970795525	8098.651899521162	7098.782178597318	8001.005615343058	4358.294940235871
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation	6218.518796728657	7126.265318273516	3627.7268270315417	8774.011421427487	6976.687769242197	447.5210627972834	144.71917970603707	647.2774594108403	365.38933367275376	480.9286675332741
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	18406.7061298047	19615.165845197826	18267.560857975965	23206.45505496319	19892.985539629182	10258.128155346778	12785.542323854328	11643.326597997717	11441.39776878765	7106.273640559604
NADSYN-PWY	NAD biosynthesis II (from tryptophan)	63.06591594625195	0.0	85.44582597399062	0.0	0.0	7.976671482779249	0.0	0.0	7.963564842637298	0.0
NAGLIPASYN-PWY	lipid IVA biosynthesis	29947.78625737236	27597.152090592044	33079.31531600436	24446.54123776948	24899.72952172556	44146.09686772568	42004.24986614328	48821.24764184063	46765.292243083386	39658.79911062981
NONMEVIPP-PWY	methylerythritol phosphate pathway I	41521.90679431097	32037.63029464774	41357.43990143929	32081.825445356342	33064.31859943745	61379.02958190845	65122.7773327918	61057.74849312338	57540.41692416227	51714.08880167556
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	78678.11538706654	73397.87445929775	67278.17569050963	83824.9627997153	75080.29088427413	92832.06766301196	93035.95864938042	75006.73708107114	72877.5431865277	61003.42623062013
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	32500.14332054012	25126.288096263663	35645.880849957975	25313.77592414282	31939.098734188075	50250.00409201481	46667.033194896816	38149.16284874397	33564.43032813995	32869.6275849551
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	15825.9582630964	17380.304836032778	11328.829040132525	20553.915992868177	18060.65906880904	9651.613028464177	10248.567841092528	9437.125929132748	10070.274871727155	6308.378170022165
ORNDEG-PWY	superpathway of ornithine degradation	15355.52025217875	16355.362580975636	16653.337175349647	19788.531282878303	17960.693233889262	9108.349159910753	9936.114172098683	9567.610902341934	9459.918760360531	6003.633501714543
P101-PWY	ectoine biosynthesis	102.2594342200336	19.142190244759963	197.4302020121428	13.82156534606511	104.97783047670843	39.25356524454325	17.269065217666743	42.35055223359469	18.847402264621746	7.486911683263882
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	36377.4622262981	36372.21170968047	38077.20699831648	37859.46653733111	37039.57550944553	36720.89305123909	33428.595493889	39522.682780704265	35242.7211624143	23570.60489104277
P108-PWY	pyruvate fermentation to propanoate I	23485.3373228288	20147.367897921536	26591.0306482928	11908.763739374182	18486.080746423493	54500.89213374052	54595.98309405661	61161.68828292312	58792.707198020165	47863.49222226045
P122-PWY	heterolactic fermentation	11940.119839153916	11469.225968411263	13440.835056729456	14752.709270169376	23727.30615117032	37599.0787160855	25616.644308416	22790.436501061668	18208.90256089191	16982.677515344723
P124-PWY	Bifidobacterium shunt	13805.307587878446	12798.123512226264	15796.42816971022	16196.70009807204	26519.76844551233	44823.90536270796	29974.62458429136	27125.04007282272	20984.85701686079	21399.595649172566
P125-PWY	superpathway of (R,R)-butanediol biosynthesis	289.97268027248384	376.4678083736889	883.6989597476238	567.2440840152598	1328.9404244813832	1459.4117697517006	182.34955373839296	2812.4176907120395	619.1070813690169	146.43657195052407
P161-PWY	acetylene degradation	56324.72253902556	50869.129848111465	39416.20100370609	58766.20033447616	69721.25179036942	49850.12551404925	38126.84133924711	34239.008136747536	29040.01885704812	27915.08051214505
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	1724.8933685768975	1228.8002174619987	2601.44063399796	1585.5780560277278	1687.4109987232368	3195.499350222503	328.4028420412196	2167.5145826116072	1348.957893672625	303.02560397065
P163-PWY	L-lysine fermentation to acetate and butanoate	6395.5676395948285	882.0863064215242	6851.545868855088	1206.3451819801212	1501.802867449965	4257.15110227128	3112.1207052618524	5749.6275719202	1211.627044460934	2541.840915843644
P164-PWY	purine nucleobases degradation I (anaerobic)	13806.19867827608	8255.202242174282	9056.834244005911	10302.195684996655	10542.920740310748	15198.784280890875	13981.136848965129	12618.656283880426	9570.54490373434	8466.996998204902
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)	87.99447199438247	27.118855921800066	136.53844195525826	31.71606337543665	69.62519090886317	61.616783407334346	25.996389651446187	51.1689923203614	21.63333536465747	6.945998367187468
P221-PWY	octane oxidation	396.5893534589296	884.5812769181706	2238.6157218053504	1174.8275188573682	1758.8434149985942	1557.9662425113463	5.999323412135593	4114.732031153431	1046.4991500253504	0.0
P23-PWY	reductive TCA cycle I	37105.60361217472	36338.2946425776	41589.45110997111	35509.88358242107	37243.93037372398	44229.60999775026	35864.43008310943	40949.69965757187	38571.78479352781	25888.070167849302
P241-PWY	coenzyme B biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.39855324299359	0.0	0.0
P261-PWY	coenzyme M biosynthesis I	0.0	0.0	0.0	0.0	0.0	10.74486615723887	0.0	0.0	0.0	0.0
P281-PWY	3-phenylpropanoate degradation	12664.348771015995	13673.046489257384	2848.4235609523416	16578.397489363517	13034.53851483878	976.3810592954416	358.501784286016	1127.7057979162996	800.5294880515773	1075.629435250156
P341-PWY	glycolysis V (Pyrococcus)	632.3173133282856	59.95756722225741	240.69812457323883	445.3147587070152	250.6099226866046	657.0466694446186	2518.6990624186483	1379.1747215426965	898.4897216104524	680.6193157858307
P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)	411.2966850888648	3266.741058167767	5237.219678745127	4103.714090365794	4454.687332859722	4498.111457714404	0.0	4482.8256433440565	3057.2164759127213	0.0
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	36664.735141967314	32294.437350563483	35765.99334458289	35402.31558064195	35759.54600062651	41097.02494609268	37326.179028674	36885.04101590344	33485.07150348167	28174.587852860364
P42-PWY	incomplete reductive TCA cycle	52386.43765533748	46309.79398604588	55164.62026661296	39276.6504423674	43677.87475372727	84045.24990802273	79653.51344510014	80863.89806673786	79683.25849480488	64016.13151325598
P441-PWY	superpathway of N-acetylneuraminate degradation	44145.52611407409	40857.67887545597	41518.794124074426	45669.177465338646	47954.343034459765	52911.63513053129	49507.633173828486	44858.46820602978	41861.20776613212	35723.50008676205
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	38114.25779467028	35307.039043906	31699.705587098088	41338.63981196388	37029.054432780526	24726.47594171032	17769.33920556704	19175.81892763469	15097.512286704234	13942.343556581502
P562-PWY	myo-inositol degradation I	16340.35824465366	16972.49329492639	14969.393503739408	21161.547755389187	17006.686543982436	2119.7655777819327	694.1412426599661	2726.1713587971253	1519.0076013989378	1255.7891302900614
P621-PWY	nylon-6 oligomer degradation	0.0	0.0	7.899266534453993	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PANTO-PWY	phosphopantothenate biosynthesis I	40094.92160889244	34383.36269661759	40718.20230954459	33955.32622335698	35018.94642284142	56027.068310793	53788.95063263596	57123.94696084367	54190.99382565112	46154.01601903524
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	39977.19123926476	33600.23199332546	41445.22765650552	33633.939358200994	36284.05526226506	61298.46485087106	57908.77013076819	61215.20952827116	57011.82142418032	49843.42415980845
PENTOSE-P-PWY	pentose phosphate pathway	35108.31310928956	37435.74859554274	38480.55317461555	40616.49533495512	45394.06266772556	60550.94447792835	58750.89891059079	46954.22915298638	52234.387101833	29800.31069219694
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	45765.74144276753	36403.9221011841	46853.973270333714	38312.80489538296	44289.9154227593	76082.4470946938	72462.05415281962	62981.87535208932	60719.669251771	49681.97168298977
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	49200.845418574514	41996.25131270268	48654.73455356125	45410.66415009884	48562.082987631016	75608.83403125968	69053.18792161648	70911.17933292149	63663.691709161365	58665.626956811
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	5489.7422492086	5024.867081501022	7296.970128639773	6255.871215099387	7094.992109044669	11471.144964071447	6469.585417893626	9336.432209809363	9960.029832052118	8115.055386286458
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	19326.175419460906	19302.611795421344	17729.537220857444	23199.48108653372	20501.57761122354	13733.831869269448	15047.395993582426	10935.435981091956	12252.178799529638	9387.256988577408
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	38374.01199659807	32202.95727702127	40539.84458479983	31940.190234809263	36176.335448820966	62302.09706800598	58982.26392109856	60752.73140149471	56729.37661927559	49274.087737919785
PPGPPMET-PWY	ppGpp biosynthesis	25419.45419605965	25440.91132278353	15332.517234943614	30922.5244152725	28254.96207489524	16493.576755205246	15984.704484519176	16903.494735181044	16254.005802829231	10858.82831787486
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	17632.916476834213	20514.522440128218	8736.854378578199	25540.50082997081	20688.38764895156	3004.651590977053	445.5412590348457	6918.110111510913	2202.7671520601057	1405.8151418222408
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	39969.312763358816	35185.304774195814	41096.18860109237	36088.30185955015	39581.55383523183	60651.2798653446	53883.652371183976	58553.17453762002	52489.37582869107	47203.74169803129
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	29462.06329906509	29245.498321431984	32077.424711748845	26749.11926573419	26523.827261001217	43638.91813768421	42452.01629805864	47455.77563345224	47414.43663390845	39213.717868225205
PWY-1361	benzoyl-CoA degradation I (aerobic)	0.0	0.0	5.998564802756775	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-1541	superpathway of taurine degradation	22.2569924455868	76.15054387238958	140.96856659468122	93.16032453555636	139.58417756121244	93.33619270441427	84.50947820663507	97.01538700362576	45.45378079705208	29.80568918899969
PWY-1622	formaldehyde assimilation I (serine pathway)	0.0	27.49753784748313	28.71497404772963	0.0	28.3929666063296	36.862857899741	0.0	0.0	0.0	0.0
PWY-181	photorespiration	92.89065646516173	491.9620528366475	1023.3086343057056	534.5708416107065	775.7142433458192	737.5474310619953	299.88348596984304	969.591022038758	681.8658783733748	114.32063605706432
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	16826.30423123833	1402.0023407390256	13972.81710220967	2778.427246169262	3447.0685004034003	6889.584574396617	5927.243509136352	5113.029254783411	4754.347963553239	2547.4852562419846
PWY-1882	superpathway of C1 compounds oxidation to CO2	0.0	1.2918532238757727	9.790984599814818	0.0	0.0	0.0	0.0	0.0	0.0	0.0
